id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
4286;2;2;I26504;2028-09-10;NULL;5700;LENGKAP;666;11;NULL;NULL
4287;3;3;F10504;2028-06-05;NULL;12000;LENGKAP;666;19;NULL;NULL
4290;3;3;B26506;2028-02-13;NULL;5400;LENGKAP;666;14;NULL;NULL
4291;3;3;D46501;2028-04-23;NULL;7747;LENGKAP;666;6;NULL;NULL
4292;3;3;K38501;2028-11-20;NULL;11260;LENGKAP;666;1015;NULL;NULL
4294;2;2;G57502;2028-07-30;NULL;6564;LENGKAP;666;1003;NULL;NULL
4295;1;1;G10506;2029-07-09;NULL;15850;LENGKAP;666;17;NULL;NULL
4296;1;1;H50502;2029-09-02;NULL;12972;LENGKAP;666;2;NULL;NULL
4297;1;1;J30514;2029-10-25;NULL;11887;LENGKAP;666;9;NULL;NULL
4298;10;10;J10507;2029-10-08;NULL;14400;LENGKAP;666;4;NULL;NULL
4301;1;1;19203501;2030-03-31;NULL;46037;LENGKAP;666;582;NULL;NULL
4302;1;1;19206501;2030-06-30;NULL;46037;LENGKAP;666;582;NULL;NULL
4305;5;5;LCH62454;2030-07-01;NULL;5222;LENGKAP;666;1227;NULL;NULL
4306;5;5;SCD17254;2029-03-01;NULL;6000;LENGKAP;666;854;NULL;NULL
4307;2;2;LCL91054;2028-10-01;NULL;3330;LENGKAP;666;1228;NULL;NULL
4308;1;1;A0505501;2029-05-31;NULL;31395;LENGKAP;667;577;NULL;NULL
4310;2;2;TSJ98454;2030-08-01;NULL;21416;LENGKAP;667;1044;NULL;NULL
4313;1;1;TPH36053;2029-07-01;NULL;63131;LENGKAP;667;1144;NULL;NULL
4315;5;5;SCK71654;2027-09-01;NULL;11100;LENGKAP;667;55;NULL;NULL
4316;1;1;24010048;2026-12-31;NULL;20801;LENGKAP;667;82;NULL;NULL
4317;1;1;5F360902;2028-03-01;NULL;30762;LENGKAP;667;871;NULL;NULL
4318;1;1;5X07181;2028-01-31;NULL;34385;LENGKAP;667;85;NULL;NULL
4319;3;3;5NG137;2027-07-31;NULL;17040;LENGKAP;667;1150;NULL;NULL
4320;1;1;25KM002;2027-10-01;NULL;95450;LENGKAP;667;93;NULL;NULL
4321;3;3;13110517;2027-10-31;NULL;7697;LENGKAP;667;571;NULL;NULL
4322;1;1;05407502B;2029-07-31;NULL;45732;LENGKAP;667;590;NULL;NULL
4323;1;1;FX5A262;2027-07-31;NULL;72437;LENGKAP;667;1197;NULL;NULL
4324;1;1;25012401;2030-01-23;NULL;48945;LENGKAP;667;110;NULL;NULL
4325;3;3;HX5A288V;2029-09-30;NULL;27772;LENGKAP;667;1260;NULL;NULL
4326;1;1;25080504;2027-05-18;NULL;36734;LENGKAP;667;101;NULL;NULL
4327;1;1;25056701;2027-04-24;NULL;74550;LENGKAP;667;1282;NULL;NULL
4328;1;1;GX5A048;2027-07-31;NULL;70000;LENGKAP;667;104;NULL;NULL
4329;1;1;56E4100;2028-04-30;NULL;22477;LENGKAP;667;134;NULL;NULL
4330;2;2;56A0060;2029-02-28;NULL;31500;LENGKAP;667;947;NULL;NULL
4331;2;2;56D4296;2028-04-30;NULL;13622;LENGKAP;667;869;NULL;NULL
4332;1;1;55I0779;2027-08-30;NULL;26250;LENGKAP;667;1019;NULL;NULL
4334;1;1;55L0421;2027-12-30;NULL;44000;LENGKAP;667;138;NULL;NULL
4335;1;1;56E0623;2028-05-30;NULL;68000;LENGKAP;667;684;NULL;NULL
4338;1;1;56C4153;2028-02-28;NULL;27750;LENGKAP;667;137;NULL;NULL
4339;1;1;M05231101;2028-10-01;NULL;11000;LENGKAP;667;997;NULL;NULL
4340;5;5;I2525G05;2028-07-02;NULL;9065;LENGKAP;667;154;NULL;NULL
4342;5;5;F252I05;2027-12-03;NULL;8804;LENGKAP;668;153;NULL;NULL
4343;5;5;S2360201;2027-07-01;NULL;5550;LENGKAP;668;169;NULL;NULL
4344;1;1;F1460421;2028-02-28;NULL;70000;LENGKAP;668;159;NULL;NULL
4345;2;2;S.3760028;2027-10-30;NULL;13500;LENGKAP;668;1223;NULL;NULL
4346;5;5;S23250142;2027-09-01;NULL;5862;LENGKAP;668;164;NULL;NULL
4347;2;2;S1460086;2027-11-01;NULL;12210;LENGKAP;668;167;NULL;NULL
4348;2;2;D0660124;2027-06-01;NULL;12305;LENGKAP;668;161;NULL;NULL
4349;5;5;O.0460153;2029-07-31;NULL;14500;LENGKAP;668;166;NULL;NULL
4350;5;5;O1660036;2027-04-30;NULL;11600;LENGKAP;668;163;NULL;NULL
4351;1;1;D0260009;2027-05-01;NULL;12903;LENGKAP;668;170;NULL;NULL
4352;1;1;T.35250005;2027-07-31;NULL;10499;LENGKAP;668;174;NULL;NULL
4355;1;1;A04820GC;2028-07-31;NULL;60000;LENGKAP;668;788;NULL;NULL
4360;2;2;1606502;2027-06-30;NULL;9385;LENGKAP;668;574;NULL;NULL
4361;1;1;3904301;2027-04-01;NULL;42000;LENGKAP;668;588;NULL;NULL
4362;1;1;12210505;2028-10-31;NULL;50000;LENGKAP;668;566;NULL;NULL
4363;2;2;11810506;2027-10-31;NULL;8777;LENGKAP;668;568;NULL;NULL
4364;1;1;4810506;2029-10-31;NULL;34000;LENGKAP;668;567;NULL;NULL
4365;1;1;11706502;2028-06-30;NULL;66105;LENGKAP;668;569;NULL;NULL
4366;1;1;5085061;2030-07-31;NULL;49145;LENGKAP;669;221;NULL;NULL
4368;2;2;78801;2028-08-30;NULL;11350;LENGKAP;669;1209;NULL;NULL
4369;1;1;A3309;2028-08-30;NULL;72358;LENGKAP;669;229;NULL;NULL
4372;1;1;AY006;2029-05-31;NULL;115000;LENGKAP;669;812;NULL;NULL
4373;1;1;PX011;2029-09-01;NULL;12741;LENGKAP;669;1016;NULL;NULL
4377;3;3;507164;2029-07-31;NULL;8000;LENGKAP;669;259;NULL;NULL
4378;1;1;12P0621;2027-04-09;NULL;81950;LENGKAP;669;1108;NULL;NULL
4379;5;5;14P0221;2028-04-26;NULL;15336;LENGKAP;669;1110;NULL;NULL
4380;2;2;KCBPCA54182;2027-07-31;NULL;28000;LENGKAP;669;264;NULL;NULL
